Geneid	Col_100	Col_131	Col_182	Col_184	Col_186	Col_195	Col_326	Col_87	Col_9
ENSMUSG00000100648	0	0	0	0	0	2	0	0	0
ENSMUSG00002076499	0	0	0	0	0	0	0	0	0
ENSMUSG00000099949	0	0	0	0	0	0	0	0	0
ENSMUSG00000099918	0	0	0	0	0	0	0	0	0
ENSMUSG00000045968	32	40	37	25	23	36	25	25	35
ENSMUSG00000043282	0	0	2	0	0	0	0	0	0
ENSMUSG00000102459	6	0	2	0	1	6	4	4	0
ENSMUSG00000047053	0	0	0	0	0	0	3	0	0
ENSMUSG00000099227	0	0	0	0	0	0	0	0	0
ENSMUSG00000026107	697	471	457	499	431	461	499	556	691
ENSMUSG00000099413	0	0	1	4	4	0	4	0	0
ENSMUSG00000103424	0	0	0	0	0	0	0	0	0
ENSMUSG00000054976	0	2	8	10	0	2	4	0	2
ENSMUSG00000104029	0	0	0	0	0	0	0	0	0
ENSMUSG00000101986	0	0	0	0	0	0	0	0	0
ENSMUSG00000087008	23	13	10	32	28	17	24	17	25
ENSMUSG00000100561	0	2	2	2	2	2	2	0	0
ENSMUSG00000103571	0	0	0	0	0	0	0	0	0
ENSMUSG00000098797	0	0	0	0	0	0	0	0	0
ENSMUSG00000026473	27238	32048	25427	28228	24067	23577	28399	23574	27827
ENSMUSG00000100014	2	3	0	2	0	2	0	2	0
ENSMUSG00000101903	0	0	0	0	2	2	0	0	4
ENSMUSG00000055980	198	147	265	260	220	348	397	175	145
ENSMUSG00000100502	0	0	6	0	0	0	0	0	0
ENSMUSG00000022591	0	0	0	0	0	0	0	0	0
ENSMUSG00000088669	0	0	0	0	0	0	0	0	0
ENSMUSG00000066797	0	0	0	2	0	0	0	0	0
ENSMUSG00000048960	108	131	264	144	75	181	247	142	150
ENSMUSG00000099933	0	0	0	0	0	0	0	0	0
ENSMUSG00000100221	0	0	0	0	0	0	0	0	0
ENSMUSG00002076439	0	0	0	0	0	0	0	0	0
ENSMUSG00000100031	0	0	0	0	0	0	0	0	0
ENSMUSG00000077318	0	0	0	0	0	0	0	0	0
ENSMUSG00000101827	0	0	0	0	0	0	0	0	0
ENSMUSG00000103494	0	0	0	0	0	0	0	0	0
ENSMUSG00000026142	1378	1305	1314	1330	1202	1135	1157	1012	1156
ENSMUSG00000104493	2	4	11	4	2	4	7	0	0
ENSMUSG00000100786	4	2	6	6	4	4	0	3	0
ENSMUSG00002075724	0	0	0	2	0	0	0	0	0
ENSMUSG00000067158	13	29	31	24	26	20	58	10	6
ENSMUSG00000079465	26	19	41	26	26	42	30	17	20
ENSMUSG00002075966	0	0	0	0	0	0	0	0	0
ENSMUSG00000004110	234	376	222	226	195	377	369	156	615
ENSMUSG00000097564	25	29	30	29	37	36	13	26	26
ENSMUSG00000101880	0	0	0	0	0	0	0	0	0
ENSMUSG00000101433	0	0	0	0	0	0	0	0	0
ENSMUSG00000096950	32	27	24	66	38	30	39	18	53
ENSMUSG00000056708	1494	1680	1810	1614	1842	1052	1838	1300	3499
ENSMUSG00000026471	154	138	178	176	126	164	202	156	146
ENSMUSG00000057715	4	14	0	2	6	26	2	4	2
ENSMUSG00000026470	1910	1787	1282	1396	1370	1252	1331	1463	1674
ENSMUSG00000103825	0	0	0	0	0	0	0	0	0
ENSMUSG00000099845	0	0	0	0	0	0	0	0	0
ENSMUSG00000103561	0	0	0	0	0	0	0	0	0
ENSMUSG00000101610	18	4	0	0	2	2	2	0	0
ENSMUSG00000104181	1	16	9	6	7	12	3	2	1
ENSMUSG00000118923	0	0	0	0	0	0	0	0	0
ENSMUSG00000098555	0	0	0	0	0	0	0	0	0
ENSMUSG00000097628	0	0	0	0	0	0	0	0	0
ENSMUSG00000098163	0	0	0	0	0	0	0	0	0
ENSMUSG00000097171	0	0	0	0	0	0	0	0	0
ENSMUSG00000101314	0	0	0	0	0	0	0	0	0
ENSMUSG00000033722	51	80	114	108	84	139	120	60	62
