Geneid	a10	a15	a16	a17	a18	a19	a20	a9
ENSMUSG00000008475	10419	14896	14706	13261	14464	10129	11518	9990
ENSMUSG00000099364	120	6	4	8	8	103	88	114
ENSMUSG00000100562	0	0	0	0	0	0	0	0
ENSMUSG00000056870	649	222	499	321	86	613	718	528
ENSMUSG00000102319	0	0	2	0	0	0	0	0
ENSMUSG00000089877	0	0	0	0	0	0	0	0
ENSMUSG00000101701	1	0	0	2	0	0	2	1
ENSMUSG00000103071	0	0	0	0	0	0	0	0
ENSMUSG00000100434	0	0	0	0	0	0	0	0
ENSMUSG00000100013	0	0	0	0	0	0	0	0
ENSMUSG00000101251	0	0	0	0	0	0	0	0
ENSMUSG00000101937	0	0	0	0	0	0	0	0
ENSMUSG00000039630	15707	15444	20311	17606	19259	15889	18693	15523
ENSMUSG00000104279	33	28	17	8	16	22	55	30
ENSMUSG00002075531	0	0	0	0	0	0	0	0
ENSMUSG00000064954	0	0	0	0	0	0	0	0
ENSMUSG00000026495	174	72	120	95	84	127	200	134
ENSMUSG00000032883	9686	2606	2497	2747	2394	8062	9515	11900
ENSMUSG00000026480	954	2938	2801	2772	3444	944	1282	752
ENSMUSG00000026494	163	84	162	98	16	158	194	171
ENSMUSG00000064967	0	0	0	0	0	0	0	0
ENSMUSG00000102922	0	0	0	0	0	0	0	0
ENSMUSG00000025915	360	419	520	438	472	359	504	240
ENSMUSG00000089713	0	0	0	0	0	0	0	0
ENSMUSG00000079470	2084	639	841	853	674	1750	1869	3037
ENSMUSG00000099377	6	2	0	2	0	10	8	6
ENSMUSG00000099706	0	0	0	0	0	0	0	0
ENSMUSG00000047330	368	308	228	196	140	268	314	306
ENSMUSG00000101324	0	0	0	0	0	0	0	0
ENSMUSG00000072978	4	2	0	8	0	11	2	4
ENSMUSG00000046334	0	2	0	2	4	2	0	0
ENSMUSG00002075801	2	0	0	0	0	0	0	0
ENSMUSG00000050711	866	224	278	358	254	1142	1124	830
ENSMUSG00000099562	0	0	0	0	0	0	0	0
ENSMUSG00000077782	0	0	0	0	0	0	0	0
ENSMUSG00000055067	466	222	224	230	172	500	531	361
ENSMUSG00000054702	939	561	634	629	701	1052	1320	828
ENSMUSG00000096474	10	8	2	16	12	10	8	10
ENSMUSG00000102235	0	0	2	0	0	2	2	0
ENSMUSG00000026492	1158	861	1001	988	824	1304	1733	966
ENSMUSG00000082395	7	0	4	0	0	0	3	6
ENSMUSG00000038949	3066	1273	1644	1238	1127	2622	2942	2694
ENSMUSG00000026043	28284	29225	26173	26216	22144	35292	43144	24395
ENSMUSG00000046101	4	2	4	0	2	0	1	0
ENSMUSG00002074901	0	0	0	0	0	0	0	0
ENSMUSG00000093178	0	0	0	0	0	0	0	0
ENSMUSG00000099032	39	66	85	83	15	104	57	84
ENSMUSG00000104025	0	0	0	1	0	2	0	0
ENSMUSG00000038936	728	886	880	611	571	688	841	802
ENSMUSG00000042772	3329	2499	3448	2460	2967	3242	3899	3415
ENSMUSG00000100394	0	0	0	0	0	4	4	0
ENSMUSG00000103840	0	0	0	0	0	0	0	0
ENSMUSG00000087236	0	0	4	0	0	0	0	0
ENSMUSG00000100702	0	0	0	0	0	0	0	0
ENSMUSG00000026042	3431	2996	3132	3027	2523	4123	4738	3020
ENSMUSG00000104476	0	2	4	3	0	4	2	0
ENSMUSG00000073643	884	324	335	265	349	625	725	1041
ENSMUSG00000104497	4	0	4	0	0	0	2	2
ENSMUSG00000025916	4	10	11	4	2	5	0	2
ENSMUSG00000087199	0	0	0	0	0	0	0	0
ENSMUSG00000026248	953	1272	1169	1218	1189	1187	1288	1072
ENSMUSG00000119658	0	0	0	0	0	0	0	0
ENSMUSG00000026249	987	632	565	562	302	920	906	518
ENSMUSG00000042751	127	26	31	54	28	104	140	229
ENSMUSG00000067106	42	70	34	36	70	97	62	52
ENSMUSG00000099969	0	0	0	0	0	0	0	0
ENSMUSG00000100397	0	0	0	4	0	0	0	0
ENSMUSG00000099753	0	0	0	0	0	0	0	0
ENSMUSG00000118883	0	0	0	0	0	0	0	0
ENSMUSG00000102518	0	0	0	0	0	0	0	0
ENSMUSG00000099552	0	0	0	0	0	0	0	0
ENSMUSG00000043230	6	18	18	9	0	10	8	16
ENSMUSG00000103404	0	0	0	0	0	0	0	0
ENSMUSG00000026491	2300	1622	2657	2074	2192	2251	3098	2191
ENSMUSG00000073486	0	0	1	0	0	0	2	1
ENSMUSG00000025917	2238	3301	3231	3313	3667	2226	2449	2162
ENSMUSG00000104418	6	8	2	0	10	7	6	4
ENSMUSG00000026479	1939	2889	3177	2785	3935	1941	2568	1408
ENSMUSG00000004364	4678	3268	4051	3696	3705	4371	5547	4477
ENSMUSG00000103076	24	4	8	2	4	16	22	26
ENSMUSG00000103525	2	0	0	0	0	0	0	0
ENSMUSG00000101722	1	0	0	0	0	0	2	0
ENSMUSG00000090637	0	0	0	0	0	0	0	0
ENSMUSG00000026478	3558	2501	3555	3115	2610	4758	6443	3516
ENSMUSG00000110100	0	0	0	0	0	0	0	0
ENSMUSG00000103818	0	0	0	0	0	0	0	4
ENSMUSG00000079138	0	0	0	0	6	0	2	4
ENSMUSG00000042708	6	0	6	0	0	0	2	5
ENSMUSG00000064435	0	0	0	0	0	0	0	0
ENSMUSG00000103543	0	2	0	0	0	1	4	0
ENSMUSG00000099432	0	0	0	0	0	0	0	0
ENSMUSG00000041144	69	12	19	19	26	53	59	51
ENSMUSG00000119743	0	0	0	0	0	0	0	0
ENSMUSG00000042699	6313	5265	8146	6565	6820	6981	9525	6361
ENSMUSG00000101262	8	12	10	2	6	6	6	2
ENSMUSG00000042684	80	74	94	84	114	125	126	98
ENSMUSG00000099858	20	18	16	12	2	24	44	14
ENSMUSG00000101337	16	7	1	2	3	6	10	0
ENSMUSG00000025986	578	800	1169	977	777	866	1062	636
ENSMUSG00000100213	64	16	15	10	26	46	65	32
ENSMUSG00000103129	0	0	0	0	0	0	0	0
ENSMUSG00000100160	0	0	0	4	0	0	7	3
ENSMUSG00000101921	0	0	0	0	0	0	0	0
ENSMUSG00000101447	0	0	0	0	0	0	0	0
ENSMUSG00000081185	4	0	0	4	0	4	0	2
ENSMUSG00000103246	0	0	0	0	0	0	0	0
ENSMUSG00000098876	0	0	0	0	0	0	0	0
ENSMUSG00000100530	0	0	0	0	0	0	0	0
ENSMUSG00000104067	0	0	0	0	0	0	0	0
ENSMUSG00000100033	6	18	8	4	6	6	20	8
ENSMUSG00002075213	0	0	0	0	0	0	0	0
ENSMUSG00002076633	0	0	0	0	0	0	0	0
ENSMUSG00000101996	0	0	0	0	0	0	0	0
ENSMUSG00000096973	0	0	0	0	0	0	0	0
ENSMUSG00000064943	0	0	0	0	0	0	0	0
ENSMUSG00000100866	0	0	0	0	0	0	0	0
ENSMUSG00000101721	0	0	0	0	0	0	0	0
ENSMUSG00000099376	0	0	0	0	0	0	0	0
ENSMUSG00000097883	0	0	0	0	0	0	0	0
ENSMUSG00002076043	0	0	0	0	0	0	0	0
ENSMUSG00000099698	0	0	0	0	0	0	0	0
ENSMUSG00000056763	1129	468	711	608	620	1038	1314	1153
ENSMUSG00000099454	0	0	0	0	0	0	0	0
ENSMUSG00000051616	0	0	0	0	0	0	0	0
ENSMUSG00000099627	0	0	0	0	0	0	0	0
ENSMUSG00000099577	0	0	0	0	0	0	0	0
ENSMUSG00000099882	0	0	0	0	0	0	0	0
ENSMUSG00000101760	0	0	0	0	0	0	0	0
ENSMUSG00000102356	0	0	2	0	0	0	0	0
