Geneid	D4_131	D4_182	D4_184	D4_187	D4_195	D4_284	D4_321	D4_326	D4_87
ENSMUSG00000100866	0	0	0	0	0	0	0	0	0
ENSMUSG00000101721	0	0	0	0	0	0	0	0	0
ENSMUSG00000099376	0	0	0	0	0	0	0	0	0
ENSMUSG00000097883	0	0	0	0	0	0	0	0	0
ENSMUSG00002076043	0	0	0	0	0	0	0	0	0
ENSMUSG00000099698	0	0	0	0	0	0	0	0	0
ENSMUSG00000056763	486	739	655	925	622	602	935	847	448
ENSMUSG00000099454	0	0	0	0	0	0	0	0	0
ENSMUSG00000051616	0	0	0	0	0	0	0	0	0
ENSMUSG00000099627	0	0	0	0	0	0	0	0	0
ENSMUSG00000099577	0	0	0	0	0	0	0	0	0
ENSMUSG00000099882	0	0	0	0	0	0	0	0	0
ENSMUSG00000101760	0	0	0	0	0	0	0	0	0
ENSMUSG00000102356	0	0	0	0	0	0	0	0	0
ENSMUSG00000099608	0	0	0	0	0	0	0	0	0
ENSMUSG00000099864	0	0	0	0	0	0	0	0	0
ENSMUSG00002075839	0	0	0	0	0	0	0	0	0
ENSMUSG00000100451	0	0	0	0	0	0	0	0	0
ENSMUSG00000099941	0	0	0	0	0	0	0	0	0
ENSMUSG00002075589	0	0	0	0	0	0	0	0	0
ENSMUSG00000100816	0	0	0	0	0	0	0	0	0
ENSMUSG00000042671	18	4	0	2	12	4	18	12	6
ENSMUSG00000100945	0	0	0	0	0	0	0	0	0
ENSMUSG00000102404	0	0	0	0	0	0	2	4	0
ENSMUSG00000100334	0	0	0	0	0	2	0	0	0
ENSMUSG00000026109	107	112	97	14	15	59	173	119	48
ENSMUSG00000026475	2	8	16	173	6	17	22	16	17
ENSMUSG00000099568	1	0	0	2	0	0	0	0	0
ENSMUSG00000100671	21	6	0	6	4	20	18	2	0
ENSMUSG00002075527	0	0	0	0	0	0	0	0	0
ENSMUSG00000101242	0	0	0	0	0	0	0	0	0
ENSMUSG00000099924	0	0	0	0	0	0	0	0	0
ENSMUSG00000099625	0	0	0	0	0	0	0	0	0
ENSMUSG00000101799	0	0	0	0	4	2	0	0	0
ENSMUSG00000045954	260	198	178	347	162	368	698	738	212
ENSMUSG00000099741	0	0	0	0	0	0	0	0	0
ENSMUSG00000101702	0	0	0	0	0	0	0	0	0
ENSMUSG00000066800	13478	13116	12723	8013	15013	10467	17303	13713	7935
ENSMUSG00000100183	376	355	343	293	494	373	487	356	342
ENSMUSG00000067851	7894	7278	6766	7273	5780	7049	10372	8065	4702
ENSMUSG00002076532	2	2	4	16	2	0	2	16	6
ENSMUSG00000102556	0	2	2	5	8	0	6	0	0
ENSMUSG00000038608	74	516	426	1400	229	1440	271	323	490
ENSMUSG00000042501	8	2	0	0	0	12	8	16	0
ENSMUSG00000103810	0	0	0	0	0	4	0	0	0
ENSMUSG00000083422	0	0	0	0	0	0	0	0	0
ENSMUSG00000119312	0	0	0	0	0	0	0	0	0
ENSMUSG00000042641	0	2	2	0	8	3	1	4	2
ENSMUSG00000081417	0	0	0	0	0	0	0	0	0
ENSMUSG00000103448	0	0	0	0	0	0	0	0	0
ENSMUSG00000103192	0	0	0	4	0	0	0	0	0
ENSMUSG00000104488	0	0	0	0	0	0	0	0	0
ENSMUSG00000100212	0	0	0	0	0	0	0	0	0
ENSMUSG00000102721	0	0	0	4	0	0	1	0	0
ENSMUSG00000100648	0	0	0	0	0	0	0	0	0
ENSMUSG00002076499	0	0	0	0	0	0	0	0	0
ENSMUSG00000099949	0	0	0	0	0	0	0	0	0
ENSMUSG00000099918	0	0	0	0	0	0	0	0	0
ENSMUSG00000045968	10	7	6	12	20	0	13	19	10
ENSMUSG00000043282	0	0	0	0	0	2	0	0	0
ENSMUSG00000102459	0	0	0	0	1	0	0	6	0
ENSMUSG00000047053	0	0	0	0	0	0	0	0	0
ENSMUSG00000099227	0	0	0	0	0	0	0	0	0
ENSMUSG00000026107	415	434	492	1095	374	550	995	511	414
ENSMUSG00000099413	0	0	0	0	6	1	0	0	2
ENSMUSG00000103424	0	0	0	0	0	0	0	0	0
ENSMUSG00000054976	2	0	0	0	0	10	0	0	0
ENSMUSG00000104029	0	0	0	0	0	0	0	0	0
ENSMUSG00000101986	0	0	0	0	0	0	0	0	0
ENSMUSG00000087008	24	14	36	34	28	31	17	27	35
ENSMUSG00000100561	0	0	0	2	0	2	8	8	0
ENSMUSG00000103571	0	0	0	0	0	0	0	0	0
ENSMUSG00000098797	0	0	0	0	0	0	0	0	0
ENSMUSG00000026473	3396	2197	2598	4543	3806	2601	5372	4776	2852
ENSMUSG00000100014	0	0	0	0	0	1	0	0	0
ENSMUSG00000101903	0	0	2	4	2	0	0	0	0
ENSMUSG00000055980	4	12	2	6	22	16	33	18	2
ENSMUSG00000100502	0	0	0	0	0	2	4	0	0
ENSMUSG00000022591	0	0	0	0	0	0	0	0	0
ENSMUSG00000088669	0	0	0	0	0	2	0	0	0
ENSMUSG00000066797	0	0	0	0	0	0	0	0	0
ENSMUSG00000048960	20	114	44	138	54	105	78	86	6
ENSMUSG00000099933	0	0	0	0	0	0	0	0	0
ENSMUSG00000100221	0	0	0	0	0	0	0	0	0
ENSMUSG00002076439	0	0	0	0	0	0	0	0	0
ENSMUSG00000100031	0	0	0	0	0	0	0	0	0
ENSMUSG00000077318	0	0	0	0	0	0	0	0	0
ENSMUSG00000101827	0	0	0	0	0	0	0	0	0
ENSMUSG00000103494	0	0	0	0	0	0	0	0	0
ENSMUSG00000026142	820	692	645	750	600	785	1336	812	638
ENSMUSG00000104493	0	0	0	0	12	4	0	2	0
ENSMUSG00000100786	0	1	0	0	4	0	2	0	0
ENSMUSG00002075724	0	0	0	0	0	0	0	0	0
ENSMUSG00000067158	10	6	4	34	0	24	24	26	14
ENSMUSG00000079465	13	16	14	11	18	18	33	24	5
ENSMUSG00002075966	0	0	0	0	0	0	0	0	0
ENSMUSG00000004110	205	66	76	232	102	403	434	302	146
ENSMUSG00000097564	7	4	10	13	7	9	2	24	19
ENSMUSG00000101880	0	0	1	0	0	0	2	0	0
ENSMUSG00000101433	0	0	0	0	0	0	0	0	0
ENSMUSG00000096950	46	109	120	26	89	101	106	114	37
ENSMUSG00000056708	2386	6142	5754	3566	2868	4662	5236	5986	2014
ENSMUSG00000026471	26	32	37	72	10	132	148	88	72
ENSMUSG00000057715	2	0	0	0	2	2	2	6	0
ENSMUSG00000026470	1102	867	900	1269	673	858	1463	1028	782
ENSMUSG00000103825	0	0	0	0	0	0	0	0	0
ENSMUSG00000099845	0	0	0	0	0	0	0	0	0
ENSMUSG00000103561	0	0	0	0	0	0	0	0	0
ENSMUSG00000101610	10	0	0	0	0	6	2	4	2
ENSMUSG00000104181	0	1	0	0	10	4	4	5	0
ENSMUSG00000118923	0	0	0	0	0	0	0	0	0
ENSMUSG00000098555	0	0	0	0	0	0	0	0	0
ENSMUSG00000097628	0	0	0	0	0	0	0	0	0
ENSMUSG00000098163	0	0	0	0	0	0	0	0	0
ENSMUSG00000097171	0	0	0	0	0	0	0	0	0
ENSMUSG00000101314	0	0	0	0	0	0	0	0	0
ENSMUSG00000033722	24	16	22	94	16	43	47	60	22
ENSMUSG00000103670	0	0	0	0	0	0	0	0	0
ENSMUSG00000026150	1707	1577	1508	1864	1397	1867	2348	2573	1285
