Geneid	Cb_1	Cb_3_1	Cb_4_1	Cb_5_1	Cb_6	Control_4	Control_5_1	Control_6_1	Control_7_1	Control_8_1	Ox_1_1	Ox_3_1	Ox_4	Ox_7	Ox_8
ENSMUSG00000100434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101937	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2
ENSMUSG00000039630	17537	15205	14951	14268	15398	13100	16591	15954	14799	13809	16079	15966	8567	13054	15476
ENSMUSG00000104279	44	14	12	12	16	46	32	21	30	24	22	31	57	33	34
ENSMUSG00002075531	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSMUSG00000064954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026495	100	72	71	62	54	91	131	113	164	129	67	112	36	94	114
ENSMUSG00000032883	4165	2193	3128	2418	3069	12900	11352	11180	9937	10827	6994	5350	4007	1835	3070
ENSMUSG00000026480	1802	1456	1554	1649	1705	960	918	793	746	727	904	1032	685	1459	1358
ENSMUSG00000026494	32	12	16	27	2	41	56	26	64	26	31	70	55	46	26
ENSMUSG00000064967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025915	238	170	164	121	166	204	192	143	220	195	156	192	76	229	192
ENSMUSG00000089713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079470	1063	760	880	974	868	2480	4098	3609	3154	3687	1872	1129	1704	321	472
ENSMUSG00000099377	14	4	0	4	4	0	8	3	3	13	4	2	8	6	4
ENSMUSG00000099706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000047330	34	58	49	64	54	84	132	140	132	148	1533	952	2965	766	932
ENSMUSG00000101324	0	0	0	0	0	0	0	0	0	0	5	7	7	0	0
ENSMUSG00000072978	3	0	16	4	0	0	8	0	6	0	8	7	0	4	10
ENSMUSG00000046334	0	0	0	2	0	0	0	0	0	0	0	2	2	10	4
ENSMUSG00002075801	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000050711	526	274	384	336	412	724	778	644	822	610	632	994	1940	830	1001
ENSMUSG00000099562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000055067	214	110	219	78	157	330	440	335	392	375	295	327	341	254	227
ENSMUSG00000054702	1015	778	853	737	988	1217	1458	1317	1241	1080	1033	715	823	362	553
ENSMUSG00000096474	73	10	24	18	22	18	14	16	12	6	8	18	68	42	30
ENSMUSG00000102235	8	0	2	2	2	10	20	16	2	5	7	6	0	6	6
ENSMUSG00000026492	777	617	676	534	776	983	987	1076	1055	957	704	915	776	583	781
ENSMUSG00000082395	6	0	0	4	0	1	8	7	18	1	2	0	0	2	0
